model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,file_name
ACURA MDX,3.7,6,Auto-S5,4WD,Gasoline,CA,SUV,7.0,15.0,20.0,17.0,4,no,08
ACURA MDX,3.7,6,Auto-S5,4WD,Gasoline,FA,SUV,6.0,15.0,20.0,17.0,4,no,08
ACURA RDX,2.3,4,Auto-S5,4WD,Gasoline,CA,SUV,7.0,17.0,22.0,19.0,5,no,08
ACURA RDX,2.3,4,Auto-S5,4WD,Gasoline,FA,SUV,6.0,17.0,22.0,19.0,5,no,08
ACURA RL,3.5,6,Auto-S5,4WD,Gasoline,CA,midsize car,7.0,16.0,24.0,19.0,5,no,08
ACURA RL,3.5,6,Auto-S5,4WD,Gasoline,FA,midsize car,6.0,16.0,24.0,19.0,5,no,08
ACURA TL,3.2,6,Auto-S5,2WD,Gasoline,CA,midsize car,7.0,18.0,26.0,21.0,6,yes,08
ACURA TL,3.5,6,Auto-S5,2WD,Gasoline,CA,midsize car,7.0,17.0,26.0,20.0,6,yes,08
ACURA TL,3.5,6,Man-6,2WD,Gasoline,CA,midsize car,7.0,18.0,27.0,21.0,6,yes,08
ACURA TL,3.2,6,Auto-S5,2WD,Gasoline,FA,midsize car,6.0,18.0,26.0,21.0,6,no,08
ACURA TL,3.5,6,Auto-S5,2WD,Gasoline,FA,midsize car,6.0,17.0,26.0,20.0,6,no,08
ACURA TL,3.5,6,Man-6,2WD,Gasoline,FA,midsize car,6.0,18.0,27.0,21.0,6,no,08
ACURA TSX,2.4,4,Man-6,2WD,Gasoline,FA,small car,6.0,19.0,28.0,22.0,6,no,08
ACURA TSX,2.4,4,Auto-S5,2WD,Gasoline,FA,small car,6.0,20.0,28.0,23.0,7,yes,08
ACURA TSX,2.4,4,Man-6,2WD,Gasoline,CA,small car,6.0,19.0,28.0,22.0,6,no,08
ACURA TSX,2.4,4,Auto-S5,2WD,Gasoline,CA,small car,6.0,20.0,28.0,23.0,7,yes,08
ASTON MARTIN DB9,5.9,12,Man-6,2WD,Gasoline,FA,small car,6.0,10.0,16.0,12.0,0,no,08
ASTON MARTIN DB9,5.9,12,Auto-S6,2WD,Gasoline,FA,small car,6.0,11.0,18.0,13.0,1,no,08
ASTON MARTIN DB9,5.9,12,Man-6,2WD,Gasoline,CA,small car,6.0,10.0,16.0,12.0,0,no,08
ASTON MARTIN DB9,5.9,12,Auto-S6,2WD,Gasoline,CA,small car,6.0,11.0,18.0,13.0,1,no,08
ASTON MARTIN DB9 Volante,5.9,12,Man-6,2WD,Gasoline,FA,small car,6.0,10.0,16.0,12.0,0,no,08
ASTON MARTIN DB9 Volante,5.9,12,Auto-S6,2WD,Gasoline,FA,small car,6.0,11.0,17.0,13.0,1,no,08
ASTON MARTIN DB9 Volante,5.9,12,Man-6,2WD,Gasoline,CA,small car,6.0,10.0,16.0,12.0,0,no,08
ASTON MARTIN DB9 Volante,5.9,12,Auto-S6,2WD,Gasoline,CA,small car,6.0,11.0,17.0,13.0,1,no,08
ASTON MARTIN V8 Vantage,4.3,8,Man-6,2WD,Gasoline,FA,small car,6.0,12.0,19.0,15.0,3,no,08
ASTON MARTIN V8 Vantage,4.3,8,Auto-S6,2WD,Gasoline,FA,small car,6.0,13.0,20.0,15.0,3,no,08
ASTON MARTIN V8 Vantage,4.3,8,Man-6,2WD,Gasoline,CA,small car,6.0,12.0,19.0,15.0,3,no,08
ASTON MARTIN V8 Vantage,4.3,8,Auto-S6,2WD,Gasoline,CA,small car,6.0,13.0,20.0,15.0,3,no,08
AUDI A3,2.0,4,Man-6,2WD,Gasoline,CA,station wagon,7.0,21.0,29.0,24.0,7,yes,08
AUDI A3,2.0,4,Auto-S6,2WD,Gasoline,CA,station wagon,7.0,22.0,29.0,25.0,7,yes,08
AUDI A3,2.0,4,Man-6,2WD,Gasoline,FA,station wagon,6.0,21.0,29.0,24.0,7,yes,08
AUDI A3,2.0,4,Auto-S6,2WD,Gasoline,FA,station wagon,6.0,22.0,29.0,25.0,7,yes,08
AUDI A3,3.2,6,Auto-S6,4WD,Gasoline,FA,station wagon,6.0,18.0,25.0,21.0,6,no,08
